chr	coor_s	coor_e	ids1	chr2	coor_s2	coor_e2	ids2	identity
17	44364290	44366056	id2843	2	217760052	217761311	id3817	0.925333
19	23288157	23297215	id3230	19	23443828	23451755	id3236	0.917272
1	240768501	240771535	id546	10	52411013	52414654	id824	0.910853
2	33636441	33637801	id3491	2	201063020	201064765	id3788	0.912657
12	7859474	7861676	id1318	12	7994046	7996053	id1324	0.924973
17	46087515	46106189	id2850	17	47073238	47095134	id2861	0.927234
20	35878401	35879729	id3965	4	109673778	109675110	id4935	0.922958
19	4791734	4795554	id3110	21	13429266	13986920	id4060	0.946138
14	51744777	51760064	id1936	7	6833177	6919166	id5790	0.94324
1	29754670	29756428	id111	1	30361184	30362947	id115	0.944859
2	100080589	100104733	id3616	2	110276210	110634615	id3645	0.991914
10	36376114	36416037	id715	10	37566975	37599998	id743	0.912024
21	32613598	32623872	id4102	3	125690307	125935167	id4582	0.921441
17	34792681	34793815	id2771	2	206714956	206716092	id3806	0.954987
4	188738400	188742024	id5035	6	152987365	152990098	id5720	0.997804
10	46090456	46106798	id804	10	46245413	46283277	id808	0.940133
13	28214454	28216185	id1702	5	14651628	14653390	id5086	0.900875
22	20262035	20290267	id4190	22	23402754	23405250	id4232	0.911825
2	28014641	28016559	id3486	5	61375057	61377032	id5172	0.951665
13	91926421	91933737	id1820	15	28463185	28856539	id2116	0.932444
21	14055866	14069658	id4064	9	64315162	64998121	id6629	0.92495
1	159807997	159809666	id389	1	159972563	159974243	id391	0.92446
11	110787689	110789058	id1222	12	92883697	92885038	id1530	0.911765
11	13609592	13610658	id1013	14	25266240	25267449	id1887	0.917222
16	67175601	67182528	id2547	18	10722697	10727957	id2990	0.935219
12	27074476	27098771	id1391	12	27586504	27614327	id1395	0.920173
2	138568935	138570362	id3704	4	68875305	68884447	id4845	0.907258
13	45389293	45391426	id1748	6	87120295	87122775	id5616	0.929591
6	96889312	96891393	id5626	7	93844783	93847109	id6133	0.911808
18	22076724	22078507	id3020	3	98834156	98835941	id4534	0.993831
1	194188902	194190569	id448	2	106697030	106698742	id3628	0.911014
15	42800761	42802470	id2170	8	61578138	61579905	id6405	0.90644
11	110787689	110789058	id1222	17	2306445	2308060	id2615	0.908714
14	106396937	106405572	id2041	14	106478216	106486521	id2045	0.977338
13	41421396	41442550	id1738	14	51760366	51772090	id1937	0.927586
19	35357924	35360991	id3261	19	35365361	35373445	id3263	0.959049
19	52586930	52588762	id3363	19	52871901	52876428	id3374	0.900723
10	8161251	8162524	id604	10	17577276	17578854	id623	0.902844
4	26429895	26434894	id4793	9	42389578	43199905	id6610	0.929334
1	257666	297956	id2	5	181272739	181478259	id5414	0.987922
2	84290697	84291769	id3562	5	73508678	73509721	id5196	0.927308
5	29418371	29456317	id5116	5	69533889	71009585	id5188	0.965044
15	77278454	77279850	id2271	5	76241009	76242405	id5204	0.912807
17	70412118	70413380	id2952	17	70435289	70436557	id2953	0.928857
15	23074397	23102071	id2087	20	46378795	46400966	id3974	0.928841
16	5237438	5295784	id2378	8	12284345	12719872	id6334	0.937116
6	27877423	27880076	id5476	7	109838870	109840614	id6179	0.947368
15	65814728	65817537	id2232	8	81807247	81809450	id6433	0.906325
19	43366767	43368936	id3315	19	43381509	43397766	id3317	0.954123
16	75708761	75709856	id2572	7	152748927	152749990	id6275	0.915238
20	47818701	47849368	id3977	20	48483097	48523056	id3987	0.946534
1	35120778	35122196	id129	1	46717901	46719036	id159	0.919266
18	72618203	72619548	id3080	19	11665720	11667094	id3132	0.915292
1	158455110	158456256	id385	10	83896292	83897369	id884	0.912758
15	21265253	21289469	id2074	2	164972851	164999047	id3737	0.95735
11	75078937	75080225	id1168	5	93682503	93683817	id5233	0.93155
14	89734708	89738742	id1986	2	42824727	42827702	id3503	0.902622
14	63734691	63736225	id1957	3	185245155	185246545	id4702	0.905428
10	14973924	14977024	id616	4	8941475	9272916	id4777	0.915943
20	18011791	18013067	id3907	5	118973561	118974825	id5271	0.92735
12	73478250	73479476	id1509	13	94821887	94823101	id1837	0.900418
2	174309296	174311025	id3749	5	80358363	80360457	id5212	0.932676
1	176678430	176680304	id422	13	53904188	53906935	id1778	0.97901
11	98564824	98566815	id1209	19	52015577	52018494	id3359	0.938632
12	131325505	131330240	id1595	12	131631566	131636917	id1607	0.946079
22	10924572	10966724	id4142	9	40932893	41225986	id6607	0.965647
14	106153305	106196990	id2034	15	19823621	19984220	id2067	0.952444
7	23206078	23208046	id5811	9	103999907	104004396	id6728	0.907661
1	42811944	42813372	id148	6	136342823	136344240	id5689	0.900215
17	21844881	21851154	id2692	21	9527143	9592921	id4048	0.948063
10	42779084	42796551	id775	10	79649777	79908397	id872	0.912132
13	100469228	100470672	id1841	2	217760052	217761311	id3817	0.914991
7	73398750	73417318	id6081	7	75217888	75528717	id6095	0.967448
1	26425296	26429726	id88	11	46954805	46956638	id1063	0.951381
2	137853502	137854878	id3697	2	137856793	137858178	id3698	0.912307
22	48910475	48911620	id4358	22	48911634	48912886	id4359	0.925134
9	69072606	69074890	id6636	9	124966644	124968449	id6756	0.925212
10	36944658	37075930	id729	16	18791678	18793372	id2406	0.915612
3	96775345	96776772	id4528	3	133588846	133590259	id4612	0.911828
17	5122481	5140948	id2629	17	60096247	60127341	id2893	0.942458
7	5295601	5329481	id5775	7	63382524	63852324	id5973	0.957218
2	36919917	36931947	id3494	2	91415822	91839817	id3592	0.961285
22	42123191	42132193	id4330	22	42135343	42145873	id4331	0.969921
4	131656533	131722939	id4962	9	62249738	62748832	id6621	0.972322
10	27130406	27136223	id664	22	15200000	15934152	id4157	0.903858
1	65226062	65231088	id183	5	55546932	55552980	id5162	0.913618
13	114332628	114354328	id1857	2	113603235	113652133	id3663	0.955451
3	129999065	130212775	id4602	4	9322916	9800170	id4778	0.942181
11	118560615	118561645	id1243	22	42775905	42777359	id4340	0.925417
13	24501820	24504469	id1678	13	24932338	24990630	id1687	0.926182
14	106545379	106549701	id2047	16	33788602	33792925	id2470	0.904673
16	5077669	5166207	id2376	8	12284345	12719872	id6334	0.944499
2	206408242	206410271	id3804	9	19450448	19452488	id6548	0.970297
15	44794777	44815693	id2182	3	34180873	34208076	id4438	0.930968
15	67627788	67629476	id2235	6	32325154	32326494	id5523	0.911076
14	20168826	20174082	id1865	18	14171468	14731731	id3014	0.942453
13	92104704	92107312	id1825	15	32153205	32607507	id2138	0.915994
11	90098138	90117839	id1193	9	65645191	66391387	id6632	0.942971
17	26716619	26720420	id2705	7	62358864	62401361	id5960	0.967776
13	18880034	18889402	id1623	15	21298795	21778502	id2076	0.917823
15	28149911	28161445	id2110	15	30825205	30844901	id2131	0.930729
1	191145319	191147021	id442	9	88409561	88411498	id6674	0.904801
11	18209195	18214533	id1025	8	80594632	80595889	id6429	0.925654
12	43659870	43661417	id1442	7	22489733	22541005	id5810	0.929801
1	229516587	229518413	id529	15	23123714	23226874	id2089	0.959824
14	92026419	92027573	id1994	3	117026523	117027713	id4561	0.935484
10	92118645	92119909	id905	11	17435020	17436204	id1021	0.92906
12	65758039	65759081	id1498	13	20961230	20962281	id1653	0.916747
15	44561027	44562085	id2179	3	150051365	150052597	id4640	0.959048
1	110847575	110849064	id267	10	63153508	63155026	id850	0.977425
2	88016800	88022823	id3576	9	62249738	62748832	id6621	0.945987
11	90098138	90117839	id1193	9	39588991	40873597	id6605	0.942433
1	125131847	125149504	id305	2	131791143	132220279	id3687	0.938285
5	21935493	22015433	id5105	5	71015224	71450397	id5189	0.982743
19	53364790	53369365	id3387	19	53429817	53458910	id3394	0.905042
5	37378524	37389706	id5130	6	57759985	57967036	id5570	0.967806
10	84081413	84083161	id885	14	80822427	80823621	id1981	0.902816
1	197745665	197746909	id460	10	118309749	118311315	id942	0.915254
19	24158621	24162516	id3243	5	157025951	157029843	id5342	0.940233
20	36045621	36050962	id3966	6	26521714	26527380	id5466	0.932991
16	34339329	34429997	id2480	16	34981838	35072498	id2499	0.999868
16	28590812	28602640	id2430	16	28603534	28615634	id2431	0.9516
1	24832261	24834970	id83	1	156556929	156559149	id376	0.961478
5	80299094	80300422	id5210	7	5527149	5529666	id5777	0.900908
10	31360938	31365473	id704	6	63227445	63231759	id5579	0.950999
1	168022986	168027706	id404	15	29228978	29233760	id2123	0.93322
11	87024494	87026432	id1186	2	189923167	189924878	id3775	0.910946
7	66509362	66516870	id6030	7	66814370	66836037	id6050	0.909306
16	58891094	58892198	id2539	18	13106822	13107888	id3008	0.963415
15	79667858	79669370	id2284	4	99989949	99991490	id4914	0.926202
16	28621163	28811313	id2433	16	29449193	29638675	id2437	0.974679
10	26129101	26131451	id643	10	26625787	26631542	id648	0.961407
10	37817378	37820986	id752	17	34036703	34039876	id2768	0.93408
17	22355793	22375316	id2697	22	16680506	16766359	id4168	0.9326
18	49822815	49826625	id3054	9	63542264	63823213	id6626	0.935031
3	15122608	15146427	id4414	4	8941475	9272916	id4777	0.958615
21	32498174	32511337	id4094	3	75338620	75551296	id4489	0.930707
1	242375443	242377467	id550	22	16850819	16912063	id4170	0.924988
16	15161832	15398378	id2397	16	28621163	28811313	id2433	0.971999
12	57983370	57985151	id1485	2	187825230	187827856	id3772	0.91777
11	113790034	113791453	id1232	22	39520561	39522683	id4321	0.964639
1	96446864	96448625	id241	7	22489733	22541005	id5810	0.969801
11	74354369	74356434	id1164	6	5608525	5610274	id5438	0.922796
13	23940551	23946299	id1672	2	94571013	94947869	id3595	0.902801
3	180668255	180670652	id4688	3	180687962	180690319	id4689	0.925182
10	46231323	46237497	id807	10	46326364	46514258	id810	0.905548
16	14200946	14202120	id2392	17	15519639	15648200	id2640	0.967494
6	72986300	72988318	id5596	8	126072566	126074248	id6485	0.913386
3	37276587	37278152	id4441	8	53966555	53968114	id6393	0.993586
3	12844078	12853739	id4400	3	129480068	129486300	id4600	0.901105
2	102316150	102317565	id3620	4	67881740	67882855	id4835	0.921338
15	74118646	74120301	id2249	15	84576997	84596420	id2301	0.903727
20	21486863	21488621	id3908	6	157364626	157366392	id5727	0.91614
12	5700765	5701986	id1308	4	128628076	128629325	id4960	0.960688
6	105081744	105083317	id5636	7	49505928	49507506	id5888	0.976478
19	41829605	41831275	id3308	7	84983494	84984852	id6118	0.924444
3	196014583	196029182	id4727	5	13577	49495	id5046	0.925309
1	155148533	155150293	id356	6	106930955	106932128	id5637	0.913603
20	29045065	29125796	id3931	9	40932893	41225986	id6607	0.956602
17	26721376	26766901	id2706	7	60924182	61024384	id5954	0.958637
13	39142404	39143763	id1724	13	39330571	39331947	id1725	0.905115
12	131452839	131454549	id1602	8	90277465	90279151	id6450	0.948337
22	11428056	11497337	id4146	22	11774629	11977555	id4149	0.943717
15	49472100	49490297	id2201	18	14774903	14901073	id3016	0.967706
22	29355386	29357923	id4284	22	32130965	32141884	id4300	0.920686
17	26716619	26720420	id2705	2	91415822	91839817	id3592	0.972303
5	20695218	20945818	id5101	6	26666988	27002570	id5468	0.9798
1	158455110	158456256	id385	11	125583520	125584682	id1265	0.930762
18	13673162	13674802	id3009	18	13674855	13676488	id3010	0.949184
20	32688923	32691042	id3955	6	33572551	33574217	id5531	0.987654
10	49771065	49774433	id818	13	42067714	42071875	id1740	0.937196
22	23658595	23661000	id4244	5	69533889	71009585	id5188	0.918862
18	12101184	12102482	id3002	3	169709281	169710580	id4669	0.910543
14	16400163	16404348	id1859	9	63823720	63916428	id6627	0.974126
12	9239303	9240497	id1337	3	117026523	117027713	id4561	0.933746
10	42244264	42295125	id769	2	91840071	92084545	id3593	0.973055
18	57838429	57839810	id3058	2	62560088	62561434	id3522	0.922197
2	223370002	223371326	id3825	2	223374401	223375494	id3826	0.912118
10	37338593	37339860	id735	5	88195205	88196492	id5230	0.954976
10	26576736	26596493	id645	10	26922840	26945944	id658	0.91283
14	106880460	106883160	id2066	19	60000	259397	id3099	0.953731
3	129375658	129393567	id4598	3	129486719	129500182	id4601	0.934799
1	202911747	202913077	id470	13	52642431	52643798	id1774	0.937026
11	3386974	3397115	id990	11	67706564	67996174	id1146	0.955433
10	38918269	38969846	id762	18	14935636	15410450	id3018	0.950058
10	96056700	96060863	id915	7	56226028	56229498	id5918	0.951454
12	14526318	14527817	id1367	12	32744055	32745547	id1412	0.939475
1	8500394	8503103	id32	1	24832261	24834970	id83	0.965875
5	178711977	178713500	id5387	5	178882826	178884352	id5393	0.902167
14	23833676	23835801	id1883	14	23903576	23905670	id1884	0.923851
10	5258294	5259682	id600	6	56855583	56856978	id5563	0.947674
16	11924729	11943684	id2388	16	22419484	22545154	id2418	0.973925
7	35900798	35910269	id5853	7	35910278	35981126	id5854	0.94266
17	56872593	56873852	id2880	17	56875021	56876328	id2881	0.934661
4	140641429	140642618	id4970	7	5351291	5357279	id5776	0.923605
6	4031570	4032755	id5431	9	114845649	114846811	id6748	0.924268
2	17385071	17386586	id3480	6	4702441	4703999	id5435	0.913885
10	87753116	87754809	id895	18	1360844	1362594	id2976	0.934171
15	84801860	84803285	id2303	18	3580226	3581650	id2979	0.980337
13	19188233	19199280	id1633	13	21188012	21216652	id1655	0.939838
3	87049202	87051391	id4511	4	56393361	56395551	id4825	0.97366
3	149960738	149962136	id4638	3	180770721	180773070	id4690	0.944362
10	16905110	16928508	id622	10	42693288	42741193	id773	0.92284
13	91926421	91933737	id1820	15	28282650	28463178	id2115	0.924425
19	22318835	22371019	id3211	19	22697310	22743452	id3219	0.928722
10	43525764	43527157	id784	12	79650670	79651768	id1518	0.93615
13	91897065	91915771	id1818	15	28282650	28463178	id2115	0.915419
16	34626883	34659165	id2489	16	46413868	46466597	id2515	0.946755
10	23136856	23139785	id639	6	127355680	127358855	id5672	0.92948
2	174309296	174311025	id3749	6	5608525	5610274	id5438	0.921977
1	157529970	157550478	id381	1	157632057	157644857	id382	0.911546
3	98660469	98661623	id4533	8	86466792	86467952	id6443	0.949477
2	95745586	95800190	id3602	2	96000000	96073263	id3604	0.982604
7	58059106	58107700	id5951	7	62358864	62401361	id5960	0.930692
3	169709281	169710580	id4669	7	135444439	135445748	id6216	0.952087
1	72419254	72420331	id195	12	122060533	122061583	id1567	0.922631
4	164259595	164279667	id5001	5	181272739	181478259	id5414	0.972361
22	21111384	21151083	id4205	22	21151091	21443089	id4206	0.996317
15	42939259	42940404	id2171	15	43140100	43141266	id2173	0.918635
10	105686224	105689724	id936	11	3970544	3972089	id992	0.914093
10	42812000	42860868	id776	9	63008371	63202862	id6624	0.957504
1	155148533	155150293	id356	15	29730610	29731821	id2124	0.936151
14	72960348	72972913	id1972	15	79742354	79760559	id2285	0.916652
17	35192795	35196004	id2773	18	11608722	11614814	id2993	0.954095
14	106880460	106883160	id2066	6	170598034	170745979	id5758	0.952435
2	242065528	242119869	id3878	8	387414	449949	id6305	0.974258
2	203764235	203765529	id3800	3	32258928	32260294	id4434	0.900329
10	38595718	38597408	id756	7	60924182	61024384	id5954	0.948029
15	75758860	75760203	id2263	5	174917522	174930518	id5368	0.914795
4	744682	746150	id4761	4	746162	747630	id4762	0.982912
