chr	coor_s	coor_e	ids	jumps
1	26425296	26429726	id88	2.0
1	26519126	26520421	id89	1.0
1	26637878	26642254	id90	1.0
1	26646154	26650668	id91	1.0
1	26817241	26819339	id92	2.0
1	26985327	26986346	id93	1.0
1	27206827	27208747	id94	2.0
1	27325329	27326527	id95	2.0
1	27734241	27735850	id96	1.0
1	27961745	27968783	id97	1.0
1	28095058	28096388	id98	2.0
1	28215540	28216820	id99	1.0
1	28218098	28219694	id100	1.0
1	28499161	28500308	id101	1.0
1	28593694	28595449	id102	1.0
1	28742734	28743987	id103	1.0
1	29328380	29331332	id104	1.0
1	29343584	29345264	id105	1.0
1	29454237	29455280	id106	1.0
1	29521094	29522600	id107	1.0
1	29549115	29552232	id108	1.0
1	29651367	29652584	id109	1.0
1	29680812	29682594	id110	1.0
1	29754670	29756428	id111	1.0
1	30132416	30133634	id112	1.0
1	30285108	30286793	id113	1.0
1	30318857	30320372	id114	1.0
1	30361184	30362947	id115	1.0
1	30374144	30375165	id116	1.0
1	30445507	30447204	id117	1.0
1	30448939	30451875	id118	1.0
1	30516434	30518191	id119	1.0
1	30655833	30659022	id120	1.0
1	30661075	30662761	id121	1.0
1	31906420	31908960	id122	1.0
1	32333850	32335092	id123	1.0
1	32423225	32426261	id124	1.0
1	32620835	32621950	id125	1.0
1	32679638	32680651	id126	1.0
1	33050982	33053497	id127	2.0
1	33403534	33404873	id128	1.0
1	35120778	35122196	id129	1.0
1	35420051	35421939	id130	1.0
1	36286365	36289756	id131	1.0
1	36303794	36305334	id132	1.0
1	37781126	37782228	id133	1.0
1	37956992	37958265	id134	1.0
1	38708844	38711237	id135	1.0
1	38862489	38864716	id136	1.0
1	39004479	39005725	id137	1.0
1	39490133	39496725	id138	1.0
1	39497604	39499596	id139	1.0
1	39509526	39525868	id140	1.0
1	39718563	39720007	id142	2.0
1	39760348	39776678	id143	1.0
1	39777533	39779547	id144	1.0
1	39784067	39790231	id145	1.0
1	40069688	40072648	id146	2.0
1	42041288	42042845	id147	1.0
1	42811944	42813372	id148	1.0
1	42889641	42892363	id149	2.0
1	42984413	42986332	id150	1.0
1	43849437	43850563	id151	1.0
1	44103046	44104705	id152	2.0
1	44129350	44135360	id153	1.0
1	44959610	44960970	id154	1.0
1	45016400	45020779	id155	1.0
1	45845342	45847175	id156	1.0
1	46239997	46242959	id157	2.0
1	46557417	46558802	id158	1.0
1	46717901	46719036	id159	1.0
1	46838544	46900684	id160	1.0
1	46921731	46950355	id161	1.0
1	47051281	47052776	id162	1.0
1	47067239	47122930	id163	1.0
1	47127552	47157145	id164	1.0
1	48435701	48437770	id165	1.0
1	49842289	49846489	id166	1.0
1	51157438	51158517	id167	2.0
1	51271186	51273252	id168	1.0
1	52086710	52088321	id169	1.0
1	52991781	52993286	id170	1.0
1	53974597	53976142	id171	2.0
1	54536765	54538089	id172	2.0
1	54753859	54755351	id173	1.0
1	55222871	55224068	id174	1.0
1	57087392	57088797	id175	1.0
1	57284011	57285266	id176	1.0
1	58047840	58049373	id177	2.0
1	58999614	59000646	id178	2.0
1	60283057	60284888	id179	1.0
1	62209862	62212298	id180	1.0
1	63549371	63550636	id181	1.0
1	63842682	63843759	id182	1.0
1	65226062	65231088	id183	2.0
1	65681494	65683619	id184	1.0
1	65882189	65884321	id185	1.0
1	67278050	67279702	id186	1.0
1	67409504	67413262	id187	1.0
1	67659192	67660501	id188	1.0
1	68160094	68163193	id189	3.0
1	68475319	68477071	id190	1.0
1	70249951	70252001	id191	1.0
1	70530284	70532474	id192	2.0
1	71053123	71054375	id193	1.0
1	71958857	71960351	id194	1.0
1	72419254	72420331	id195	1.0
1	73023697	73024811	id196	1.0
1	74178186	74179923	id197	1.0
1	74597884	74599184	id198	1.0
1	75742022	75743554	id199	1.0
1	76699755	76700958	id200	2.0
1	77102069	77103282	id201	1.0
1	77809769	77811936	id202	2.0
1	77847748	77849614	id203	1.0
1	78316175	78317300	id204	1.0
1	78858309	78859350	id205	1.0
1	79053921	79056106	id206	1.0
1	79319663	79322791	id207	1.0
1	79348533	79351496	id208	1.0
1	79521066	79523651	id209	2.0
1	80450781	80451999	id210	1.0
1	81426415	81428322	id211	1.0
1	81503303	81505741	id212	1.0
1	81721611	81725754	id213	2.0
1	82084248	82085623	id214	1.0
1	83132476	83181767	id215	1.0
1	83182173	83489744	id216	1.0
1	85481573	85483394	id217	1.0
1	85510563	85540014	id218	1.0
1	86502072	86508227	id219	2.0
1	86551321	86553348	id220	1.0
1	87413460	87457259	id221	1.0
1	87473776	87502003	id222	1.0
1	87502013	87508107	id223	1.0
1	88980429	88983971	id224	2.0
1	89043831	89077974	id225	1.0
1	89103118	89104954	id226	1.0
1	89399224	89437351	id227	2.0
1	89582624	89593464	id228	1.0
1	89993286	89994399	id229	1.0
1	90280641	90298494	id230	2.0
1	91328357	91330256	id231	1.0
1	91531953	91535540	id232	2.0
1	91642552	91644339	id233	1.0
1	92073657	92075477	id234	3.0
1	92130598	92131736	id235	1.0
1	92144854	92145993	id236	1.0
1	93360618	93362592	id237	1.0
1	93509600	93516718	id238	2.0
1	93551301	93554654	id239	1.0
1	96418917	96422672	id240	1.0
1	96446864	96448625	id241	2.0
1	98296430	98297581	id242	1.0
1	98356909	98358899	id243	1.0
1	99822353	99824979	id244	1.0
1	100330444	100332478	id245	1.0
1	100872371	100874354	id246	1.0
1	101786252	101787301	id247	3.0
1	101880196	101882071	id248	1.0
1	102456528	102458610	id249	1.0
1	102860202	102862607	id250	1.0
1	103554220	103560154	id251	1.0
1	103570748	103579612	id252	1.0
1	103589768	103667876	id253	2.0
1	103668402	103774845	id254	2.0
1	104316907	104319380	id255	1.0
1	105696752	105698026	id256	1.0
1	105889534	105890633	id257	1.0
1	105891561	105892656	id258	1.0
1	107067084	107068384	id259	1.0
1	108213003	108310652	id260	2.0
1	108358319	108383706	id261	1.0
1	108383726	108472664	id262	1.0
1	109103111	109104766	id263	1.0
1	110292836	110297073	id265	1.0
1	110761930	110763975	id266	1.0
1	110847575	110849064	id267	1.0
1	111379752	111381556	id268	2.0
1	111648229	111649309	id269	1.0
1	112669988	112671618	id270	1.0
1	113449658	113451127	id271	2.0
1	114704478	114705775	id272	2.0
1	114914415	114916071	id273	1.0
1	115565303	115566925	id274	1.0
1	115855565	115857878	id275	1.0
1	116531760	116532974	id276	1.0
1	116587818	116660822	id277	1.0
1	116739413	116741418	id278	1.0
1	117143592	117145228	id279	1.0
1	117776534	117778730	id280	1.0
1	118614087	118615666	id281	1.0
1	118775634	118777411	id282	1.0
1	119084514	119085992	id283	1.0
1	119555953	119588232	id284	1.0
1	119593369	119619227	id285	1.0
1	119828132	119830023	id286	2.0
1	119836179	119862825	id287	1.0
1	119989247	120533096	id288	3.0
1	120533238	120955894	id289	2.0
1	120958387	121407481	id290	2.0
1	121407540	121418421	id291	1.0
1	121418622	121481043	id292	1.0
1	121491620	121498676	id293	1.0
1	121517304	121532015	id294	1.0
1	121538430	121600000	id295	1.0
1	121601841	121609797	id296	1.0
1	121619373	121740196	id297	1.0
1	121851740	121857055	id298	1.0
1	122026459	122100345	id299	1.0
1	122110312	122229391	id300	2.0
1	122230236	122503147	id301	2.0
1	125063333	125064945	id302	1.0
1	125074942	125079639	id303	1.0
1	125085521	125130246	id304	1.0
1	125131847	125149504	id305	2.0
1	125166234	125171174	id306	1.0
1	125173583	125184587	id307	2.0
1	143184587	143541167	id308	5.0
1	143541219	143653881	id309	2.0
1	143653897	143719945	id310	2.0
1	143720132	144550481	id311	6.0
1	144551803	145520644	id312	7.0
1	145522715	145597442	id313	2.0
1	145597470	145600000	id314	1.0
1	145600140	145686998	id315	1.0
1	145809382	145823828	id316	1.0
1	145923649	145927476	id317	1.0
1	146048496	146053709	id318	1.0
1	146053738	146905930	id319	6.0
1	146905969	147057418	id320	3.0
1	147072461	147081205	id321	1.0
1	147082028	147083575	id322	1.0
1	147084769	147086418	id323	1.0
1	147101242	147105903	id324	2.0
1	147841815	147842996	id325	2.0
1	147917510	147920335	id326	1.0
1	147920586	148009863	id327	1.0
1	148011628	148295008	id328	6.0
1	148295707	148348209	id329	1.0
1	148354184	148393991	id330	1.0
1	148400000	148436924	id331	1.0
1	148436939	149366538	id332	5.0
1	149366550	149843518	id333	5.0
1	149850293	149876379	id334	1.0
1	150623289	150625809	id335	1.0
1	150903514	150905086	id336	2.0
1	151247862	151249531	id337	2.0
1	152012925	152013972	id338	1.0
1	152077935	152082229	id339	2.0
1	152303355	152308170	id341	1.0
1	152308215	152314008	id342	1.0
1	152565649	152566885	id343	1.0
1	152579379	152580620	id344	1.0
1	152787208	152788295	id345	1.0
1	152797703	152798777	id346	1.0
1	152930053	152931804	id347	1.0
1	153378629	153380170	id348	1.0
1	153402398	153428646	id349	1.0
1	153444663	153468435	id350	1.0
1	154156363	154157723	id351	1.0
1	154310457	154313912	id352	1.0
1	154319674	154322903	id353	1.0
1	154378107	154379152	id354	1.0
1	154962297	154963904	id355	1.0
1	155148533	155150293	id356	3.0
1	155210381	155220964	id358	1.0
1	155230975	155243466	id359	1.0
1	155433139	155434519	id360	2.0
1	155559137	155563938	id361	1.0
1	155589958	155591286	id362	1.0
1	155591313	155594752	id363	1.0
1	155595776	155597111	id364	1.0
1	155601439	155603232	id365	1.0
1	155603600	155618111	id366	1.0
1	155618490	155620307	id367	1.0
1	155685013	155690083	id368	1.0
1	155712134	155714366	id369	1.0
1	155717702	155720329	id370	1.0
1	155727283	155728429	id371	1.0
1	155741375	155753814	id372	1.0
1	155757496	155759277	id373	1.0
1	156035300	156037133	id374	1.0
1	156249237	156250349	id375	1.0
1	156556929	156559149	id376	2.0
1	157073178	157074966	id377	2.0
1	157128351	157129548	id378	1.0
1	157356466	157380475	id379	1.0
1	157485670	157512574	id380	1.0
1	157529970	157550478	id381	1.0
1	157632057	157644857	id382	1.0
1	157710152	157711468	id383	1.0
1	158174352	158176007	id384	1.0
1	158455110	158456256	id385	1.0
1	158523615	158526490	id386	1.0
1	158870904	158872268	id387	1.0
1	159807997	159809666	id389	1.0
1	159918132	159920538	id390	1.0
1	159972563	159974243	id391	1.0
1	160266252	160267305	id392	1.0
1	160317307	160318473	id393	2.0
1	160670218	160671676	id394	1.0
1	160894886	160896558	id395	1.0
1	162782917	162821373	id398	1.0
1	164356673	164358227	id399	2.0
1	164849170	164851510	id400	1.0
1	166747322	166748755	id401	2.0
1	166856528	166858283	id402	1.0
1	167787815	167789270	id403	1.0
1	168022986	168027706	id404	1.0
1	168055346	168056485	id405	3.0
1	168369498	168372326	id406	1.0
1	168540478	168546556	id407	1.0
1	168574042	168581693	id408	1.0
1	168676917	168678231	id409	1.0
1	169131293	169132720	id410	1.0
1	169387007	169388220	id411	1.0
1	169417381	169422315	id412	1.0
1	171269457	171271685	id413	1.0
1	171339859	171341158	id414	1.0
1	171683061	171684492	id415	2.0
1	172441655	172442814	id416	1.0
1	173139726	173142372	id417	2.0
1	173234959	173235983	id418	1.0
1	174841966	174843219	id419	1.0
1	175044336	175045848	id420	1.0
1	176614672	176616385	id421	1.0
1	176678430	176680304	id422	1.0
1	178006141	178008151	id423	1.0
1	178746345	178747757	id424	1.0
1	179455318	179457397	id425	1.0
1	179589096	179591022	id426	1.0
1	180261657	180262692	id427	1.0
1	180434769	180436813	id428	2.0
1	180963919	180966466	id429	1.0
1	180967720	180970078	id430	1.0
1	181048638	181051139	id431	1.0
1	181060227	181062966	id432	1.0
1	182865480	182879196	id433	1.0
1	182941299	182942524	id434	2.0
1	182959016	182960368	id435	1.0
1	184963024	184964905	id436	1.0
1	185098071	185101057	id437	1.0
1	185226732	185227755	id438	1.0
1	187563072	187564184	id439	1.0
1	187632178	187635031	id440	1.0
1	189746091	189747614	id441	1.0
1	191145319	191147021	id442	2.0
1	192246229	192247485	id443	1.0
1	192248954	192250431	id444	1.0
1	192885159	192887190	id445	1.0
1	192993422	192994547	id446	1.0
1	193555153	193556221	id447	1.0
1	194188902	194190569	id448	1.0
1	194359170	194360918	id449	1.0
1	196689406	196691802	id450	1.0
1	196711434	196715379	id451	1.0
1	196742574	196771224	id452	2.0
1	196774265	196779093	id453	1.0
1	196779148	196780794	id454	1.0
1	196786971	196855915	id455	2.0
1	196878275	196879759	id456	1.0
1	196882768	196886304	id457	1.0
1	196911496	196951222	id458	1.0
1	197135645	197138930	id459	3.0
1	197745665	197746909	id460	1.0
1	200213643	200214772	id461	1.0
1	200751393	200752476	id462	1.0
1	200911709	200915736	id463	1.0
1	201209472	201210564	id464	1.0
1	201210660	201211752	id465	1.0
1	201583677	201586210	id466	1.0
1	202183122	202199262	id467	1.0
1	202605065	202646058	id468	1.0
1	202891119	202893426	id469	1.0
1	202911747	202913077	id470	2.0
1	202940829	202942221	id471	1.0
1	203849708	203854119	id472	1.0
1	203955643	203958029	id473	1.0
1	205846369	205848146	id474	1.0
1	205853609	205855382	id475	1.0
1	206151619	206409977	id476	1.0
1	206907596	206908731	id477	2.0
1	207043850	207045219	id478	1.0
1	207148415	207150282	id479	1.0
1	207494713	207502638	id480	1.0
1	207504628	207580628	id481	1.0
1	207611610	207617805	id482	1.0
1	207621276	207628126	id483	1.0
1	207652063	207659525	id484	1.0
1	207668465	207675592	id485	1.0
1	207676113	207718405	id486	2.0
1	207722645	207730308	id487	1.0
1	207756530	207763640	id488	1.0
1	209172390	209174676	id489	1.0
1	209232129	209234586	id490	1.0
1	209785253	209786943	id491	1.0
1	210160728	210162967	id492	1.0
1	210265397	210267291	id493	2.0
1	210857588	210861295	id494	2.0
1	211207069	211208277	id495	1.0
1	211660139	211661299	id496	1.0
1	214482239	214483483	id497	1.0
1	214605443	214609202	id498	3.0
1	215408219	215417253	id499	1.0
1	215447416	215451113	id500	1.0
1	219588658	219613448	id501	2.0
1	219794844	219796746	id502	1.0
1	220253523	220255215	id503	2.0
1	220316608	220317620	id504	1.0
1	220468772	220471631	id505	1.0
1	221061058	221062079	id506	1.0
1	222468106	222520800	id507	3.0
1	222668012	222670252	id508	1.0
1	223856426	223857447	id509	1.0
1	223863144	223864860	id510	1.0
1	223888834	224041107	id511	1.0
1	224574399	224575763	id512	1.0
1	225495015	225497813	id513	2.0
1	225789239	225790466	id514	1.0
1	225802186	225803452	id515	1.0
1	225886709	225889317	id516	1.0
1	225937423	225941395	id517	2.0
1	227263325	227265119	id518	1.0
1	227485989	227513090	id519	1.0
1	227513388	227521873	id520	2.0
1	227521923	227532213	id521	1.0
1	227535271	227540385	id522	2.0
1	227597450	227599401	id523	2.0
1	227624513	227633558	id524	2.0
1	227963158	227985942	id525	2.0
1	228556386	228558364	id526	1.0
1	228608364	228628226	id527	1.0
1	228628461	228647668	id528	1.0
1	229516587	229518413	id529	1.0
1	229570428	229571640	id530	1.0
1	229704793	229705907	id531	1.0
1	231022031	231024205	id532	1.0
1	231284680	231287438	id533	1.0
1	231311643	231312756	id534	1.0
1	231365019	231366478	id535	1.0
1	233835091	233836262	id536	1.0
1	234783386	234820600	id537	1.0
1	235109392	235112017	id538	1.0
1	235537973	235540354	id539	2.0
1	235540836	235542386	id540	1.0
1	235738008	235739616	id541	2.0
1	236819557	236820604	id542	1.0
1	237915281	237918989	id543	1.0
1	240170156	240171537	id544	2.0
1	240755829	240762307	id545	1.0
1	240768501	240771535	id546	2.0
1	240919628	240921341	id547	1.0
1	242066559	242072831	id548	1.0
1	242248079	242365526	id549	1.0
1	242375443	242377467	id550	2.0
1	242772569	242775323	id551	2.0
1	242967960	243101853	id552	2.0
1	243101897	243212177	id553	1.0
1	245974533	245975582	id554	1.0
1	245975589	245976662	id555	1.0
1	246560895	246563592	id557	1.0
1	246605408	246607458	id558	2.0
1	246634715	246636583	id559	1.0
1	246818006	246819354	id560	1.0
1	246839082	246840998	id561	1.0
1	246849625	246851442	id562	1.0
1	247187282	247188655	id564	1.0
1	247229862	247232103	id565	2.0
1	247497385	247509851	id566	2.0
1	248000150	248002574	id567	1.0
1	248048951	248051363	id568	1.0
1	248074024	248092304	id569	2.0
1	248162768	248166510	id570	1.0
1	248267942	248269170	id571	1.0
1	248271143	248282615	id572	1.0
1	248284843	248286411	id573	1.0
1	248286536	248295646	id574	1.0
1	248305306	248308342	id575	1.0
1	248420938	248519266	id576	2.0
1	248528795	248588406	id577	1.0
1	248632254	248670880	id578	1.0
1	248920160	248946406	id579	2.0
10	10000	84371	id580	2.0
10	84413	88505	id581	1.0
10	345822	346910	id582	1.0
10	346924	347982	id583	1.0
10	400471	402231	id584	1.0
10	402393	404172	id585	1.0
10	1040022	1041506	id587	1.0
10	1236608	1238397	id588	1.0
10	1239022	1240368	id589	1.0
10	2521263	2522438	id592	1.0
10	2522469	2523611	id593	1.0
10	4918645	4922275	id595	1.0
10	4925932	4983056	id596	1.0
10	4984361	5031863	id597	1.0
10	5061206	5064667	id598	1.0
10	5244365	5254712	id599	1.0
10	5258294	5259682	id600	1.0
10	5291953	5296030	id601	1.0
10	5456734	5458058	id602	1.0
10	5775819	5778764	id603	1.0
10	8161251	8162524	id604	1.0
10	8513498	8515209	id605	1.0
10	13057602	13058725	id606	1.0
10	13156504	13157649	id607	1.0
10	13317438	13319359	id608	1.0
10	13395621	13398612	id609	1.0
10	13402365	13409670	id610	1.0
10	13415609	13435205	id611	1.0
10	14356470	14357605	id612	1.0
10	14358123	14360928	id613	1.0
10	14723090	14724132	id614	1.0
10	14932844	14944568	id615	1.0
10	14973924	14977024	id616	1.0
10	14980512	14985134	id617	1.0
10	14986873	15026905	id618	2.0
10	16745734	16775684	id619	1.0
10	16800618	16816092	id620	1.0
10	16817243	16843665	id621	1.0
10	16905110	16928508	id622	1.0
10	17577276	17578854	id623	1.0
10	18555384	18556619	id624	1.0
10	18557239	18558476	id625	1.0
10	18561222	18563511	id626	1.0
10	18565106	18567546	id627	1.0
10	18622438	18638160	id628	1.0
10	18638315	18640469	id629	1.0
10	19051448	19053807	id630	2.0
10	19489090	19490212	id631	2.0
10	19747535	19748646	id632	1.0
10	21028981	21030793	id633	2.0
10	21394016	21395040	id634	1.0
10	21452296	21453639	id635	1.0
10	21559450	21600000	id636	2.0
10	21600359	21607259	id637	1.0
10	21623938	21625300	id638	1.0
10	23136856	23139785	id639	2.0
10	23365370	23366546	id640	1.0
10	24583613	24586108	id641	1.0
10	24619472	24621370	id642	1.0
10	26129101	26131451	id643	1.0
10	26572130	26575531	id644	1.0
10	26576736	26596493	id645	1.0
10	26598291	26610986	id646	1.0
10	26613170	26624743	id647	3.0
10	26625787	26631542	id648	3.0
10	26635023	26662331	id649	1.0
10	26670345	26675384	id650	1.0
10	26676196	26689523	id651	2.0
10	26689807	26697595	id652	1.0
10	26879552	26890336	id653	1.0
10	26890372	26899116	id654	2.0
10	26899535	26913373	id655	3.0
10	26913946	26917325	id656	1.0
10	26917376	26922669	id657	1.0
10	26922840	26945944	id658	1.0
10	26950574	26952577	id659	1.0
10	26952653	26959108	id660	1.0
10	27014793	27016803	id661	1.0
10	27095817	27096893	id662	1.0
10	27106198	27107450	id663	1.0
10	27130406	27136223	id664	1.0
10	27161550	27164936	id665	1.0
10	27242337	27245845	id666	1.0
10	27246496	27248297	id667	1.0
10	27248859	27252143	id668	1.0
10	27257937	27299248	id669	1.0
10	27305386	27311611	id670	1.0
10	27312565	27316836	id671	1.0
10	27316843	27329079	id672	2.0
10	27329505	27346880	id673	2.0
10	27346890	27349931	id674	1.0
10	27350322	27356965	id675	1.0
10	27360822	27365070	id676	2.0
10	27412608	27413703	id677	1.0
10	27414412	27415458	id678	1.0
10	27903729	27905279	id679	1.0
10	27953341	27999938	id680	1.0
10	28131064	28144925	id681	1.0
10	28436124	28437155	id682	1.0
10	28520691	28523754	id683	1.0
10	29282719	29293287	id684	1.0
10	29304852	29311696	id685	1.0
10	29377785	29388351	id686	1.0
10	29478975	29519557	id687	1.0
10	29561776	29575165	id688	1.0
10	29575175	29576570	id689	1.0
10	29578051	29591490	id690	1.0
10	29695915	29698653	id691	1.0
10	30161116	30162630	id692	1.0
10	30349959	30356087	id693	1.0
10	30361089	30364362	id694	1.0
10	30366693	30368163	id695	1.0
10	30374042	30399992	id696	2.0
10	30517263	30518901	id697	1.0
10	30588888	30600186	id698	1.0
10	30610772	30617353	id699	1.0
10	30625546	30637056	id700	1.0
10	30638732	30651425	id701	1.0
10	30651471	30664757	id702	1.0
10	30666008	30706267	id703	1.0
10	31360938	31365473	id704	2.0
10	31627295	31628596	id705	1.0
10	31968967	31971652	id706	2.0
10	32071663	32073144	id707	1.0
10	32109880	32110968	id708	1.0
10	32544896	32546459	id709	1.0
10	32900396	32901444	id710	1.0
10	35845637	35879880	id711	1.0
10	35927421	35941249	id712	1.0
10	35947146	35964869	id713	1.0
10	35972704	36002132	id714	1.0
10	36376114	36416037	id715	1.0
10	36416843	36420370	id716	1.0
10	36427997	36431295	id717	1.0
10	36438658	36439701	id718	1.0
10	36521748	36523014	id719	1.0
10	36724723	36726298	id720	1.0
10	36727066	36737857	id721	2.0
10	36807907	36810663	id722	1.0
10	36814082	36818080	id723	1.0
10	36840101	36850423	id724	1.0
10	36865599	36867521	id725	1.0
10	36878336	36888693	id726	1.0
10	36900869	36942579	id727	1.0
10	36942609	36944266	id728	1.0
10	36944658	37075930	id729	2.0
10	37077055	37105149	id730	1.0
10	37105487	37113835	id731	1.0
10	37114293	37202237	id732	2.0
10	37212710	37221849	id733	1.0
10	37254139	37259236	id734	1.0
10	37338593	37339860	id735	1.0
10	37373994	37382636	id736	1.0
10	37389294	37407141	id737	1.0
10	37416610	37446491	id738	1.0
10	37446504	37449263	id739	1.0
10	37453665	37454803	id740	1.0
10	37495351	37515767	id741	1.0
10	37516009	37520491	id742	1.0
10	37566975	37599998	id743	1.0
10	37601637	37602978	id744	1.0
10	37603023	37605687	id745	1.0
10	37608794	37611737	id746	1.0
10	37615762	37634291	id747	1.0
10	37634762	37652015	id748	1.0
10	37652135	37655308	id749	1.0
10	37660587	37673320	id750	1.0
10	37682942	37721721	id751	1.0
10	37817378	37820986	id752	2.0
10	38003047	38127569	id753	1.0
10	38142652	38483413	id754	4.0
10	38595718	38597408	id756	5.0
10	38597965	38783421	id757	2.0
10	38800006	38808406	id758	2.0
10	38808436	38810264	id759	1.0
10	38810293	38813315	id760	1.0
10	38825592	38835935	id761	2.0
10	38918269	38969846	id762	2.0
10	38969887	38978983	id763	2.0
10	41842913	41856969	id764	1.0
10	41857180	41858468	id765	1.0
10	41860625	41916265	id766	1.0
10	42066265	42165829	id767	2.0
10	42172160	42242910	id768	2.0
10	42244264	42295125	id769	2.0
10	42322919	42361326	id770	2.0
10	42396305	42506072	id771	2.0
10	42510740	42645952	id772	1.0
10	42693288	42741193	id773	2.0
10	42742607	42761549	id774	2.0
10	42779084	42796551	id775	2.0
10	42812000	42860868	id776	3.0
10	42862126	42873201	id777	2.0
10	42880448	42898137	id778	1.0
10	42899329	42903798	id779	1.0
10	42908291	42910505	id780	1.0
10	42911016	42923463	id781	1.0
10	42936543	42970964	id782	1.0
10	43385859	43387097	id783	1.0
10	43525764	43527157	id784	1.0
10	43603779	43606264	id785	1.0
10	43787124	43790442	id786	3.0
10	43824878	43826692	id787	1.0
10	44292367	44294332	id788	1.0
10	44482707	44488523	id789	2.0
10	45054835	45057227	id790	2.0
10	45072768	45099757	id791	1.0
10	45099777	45149011	id792	2.0
10	45156334	45175195	id793	1.0
10	45176261	45179753	id794	2.0
10	45184590	45199186	id795	2.0
10	45200616	45204997	id796	2.0
10	45210605	45224206	id797	1.0
10	45224247	45250451	id798	1.0
10	45671834	45675172	id799	2.0
10	45676295	45806813	id800	3.0
10	45811837	45876166	id801	2.0
10	45876423	45997277	id802	1.0
10	46005087	46011208	id803	1.0
10	46090456	46106798	id804	1.0
10	46108281	46216000	id805	2.0
10	46218864	46223057	id806	1.0
10	46231323	46237497	id807	1.0
10	46245413	46283277	id808	2.0
10	46286048	46316832	id809	1.0
10	46326364	46514258	id810	2.0
10	46561416	46991847	id811	6.0
10	47409230	47410414	id812	2.0
10	47454751	47458958	id813	1.0
10	47458988	47780368	id814	5.0
10	47870368	48181659	id815	2.0
10	49400869	49403230	id816	1.0
10	49515152	49517557	id817	3.0
10	49771065	49774433	id818	2.0
10	49778835	49781219	id819	1.0
10	49845538	50021727	id820	2.0
10	50021989	50200897	id821	1.0
10	50628504	50630070	id822	1.0
10	50655358	50784349	id823	4.0
10	52411013	52414654	id824	1.0
10	52784777	52785883	id825	1.0
10	53988717	53990113	id826	1.0
10	54268643	54274393	id827	1.0
10	54382450	54411424	id828	2.0
10	54417993	54448981	id829	1.0
10	54599677	54601181	id830	1.0
10	54742993	54745298	id831	1.0
10	54761135	54766645	id832	1.0
10	54766682	54768891	id833	1.0
10	55155655	55165482	id834	1.0
10	55586416	55598252	id835	1.0
10	55609982	55645188	id836	1.0
10	55740552	55784942	id837	2.0
10	55786411	55788758	id838	1.0
